"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Methylprednisolone","Methylprednisolone","Equidae","10 μg/kg","Kidney","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","kidney"
"Methylprednisolone","Methylprednisolone","Equidae","2 μg/kg","Milk","NO ENTRY","Corticoides/Glucocorticoides",2,"μg/kg","milk"
"Methylprednisolone","Methylprednisolone","Bovine","10 μg/kg","Muscle","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","muscle"
"Methylprednisolone","Methylprednisolone","Bovine","10 μg/kg","Fat","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","fat"
"Methylprednisolone","Methylprednisolone","Bovine","10 μg/kg","Liver","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","liver"
"Methylprednisolone","Methylprednisolone","Bovine","10 μg/kg","Kidney","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","kidney"
"Methylprednisolone","Methylprednisolone","Bovine","2 μg/kg","Milk","NO ENTRY","Corticoides/Glucocorticoides",2,"μg/kg","milk"
"1-Methyl-2-pyrrolidone","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Millefolii herba","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Mineral hydrocarbons, low to high viscosity including micorcristalline waxes, approximately C10-C60, aliphatic, branched aliphatic and alicyclic compounds","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","Excludes aromatic and unsaturated compounds.","NO ENTRY",NA,NA,NA
"Monensin","Monensin A","Bovine","2  μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",2,"μg/kg","muscle"
"Monensin","Monensin A","Bovine","10  μg/kg","Fat","NO ENTRY","Anti-infectious agents/Antibiotics",10,"μg/kg","fat"
"Monensin","Monensin A","Bovine","50  μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Monensin","Monensin A","Bovine","10  μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",10,"μg/kg","kidney"
"Monensin","Monensin A","Bovine","2  μg/kg","Milk","NO ENTRY","Anti-infectious agents/Antibiotics",2,"μg/kg","milk"
"Monepantel","Monepantel sulfone","Ovine, caprine","700 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents (acting) against endoparasites",700,"μg/kg","muscle"
"Monepantel","Monepantel sulfone","Ovine, caprine","7 000  μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents (acting) against endoparasites",7000,"μg/kg","fat"
"Monepantel","Monepantel sulfone","Ovine, caprine","5 000  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents (acting) against endoparasites",5000,"μg/kg","liver"
"Monepantel","Monepantel sulfone","Ovine, caprine","2 000  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents (acting) against endoparasites",2000,"μg/kg","kidney"
"Monepantel","Monepantel sulfone","Ovine, caprine","170 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents (acting) against endoparasites",170,"μg/kg","milk"
"Monepantel","Monepantel sulfone","Bovine","300 μg/kg","Muscle","Not for use in animals producing milk for human consumption","Antiparasitic agents/Agents (acting) against endoparasites",300,"μg/kg","muscle"
"Monepantel","Monepantel sulfone","Bovine","7 000  μg/kg","Fat","Not for use in animals producing milk for human consumption","Antiparasitic agents/Agents (acting) against endoparasites",7000,"μg/kg","fat"
"Monepantel","Monepantel sulfone","Bovine","2 000  μg/kg","Liver","Not for use in animals producing milk for human consumption","Antiparasitic agents/Agents (acting) against endoparasites",2000,"μg/kg","liver"
"Monepantel","Monepantel sulfone","Bovine","1 000  μg/kg","Kidney","Not for use in animals producing milk for human consumption","Antiparasitic agents/Agents (acting) against endoparasites",1000,"μg/kg","kidney"
"Monothioglycerol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Montanide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Morantel","Sum of residues which may be hydrolysed to N-methyl-1,3-propanediamine and expressed as morantel equivalents","All ruminants","100 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","muscle"
"Morantel","Sum of residues which may be hydrolysed to N-methyl-1,3-propanediamine and expressed as morantel equivalents","All ruminants","100 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Morantel","Sum of residues which may be hydrolysed to N-methyl-1,3-propanediamine and expressed as morantel equivalents","All ruminants","800 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",800,"μg/kg","liver"
"Morantel","Sum of residues which may be hydrolysed to N-methyl-1,3-propanediamine and expressed as morantel equivalents","All ruminants","200 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",200,"μg/kg","kidney"
"Morantel","Sum of residues which may be hydrolysed to N-methyl-1,3-propanediamine and expressed as morantel equivalents","All ruminants","50 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",50,"μg/kg","milk"
"Moxidectin","Moxidectin","Bovine, ovine, Equidae","50 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",50,"μg/kg","muscle"
"Moxidectin","Moxidectin","Bovine, ovine, Equidae","500 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",500,"μg/kg","fat"
"Moxidectin","Moxidectin","Bovine, ovine, Equidae","100 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",100,"μg/kg","liver"
"Moxidectin","Moxidectin","Bovine, ovine, Equidae","50 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",50,"μg/kg","kidney"
"Moxidectin","Moxidectin","Bovine, ovine","40 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents acting against endo- and ectoparasites",40,"μg/kg","milk"
"Myglyol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Myristicae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in newborn animals only.","NO ENTRY",NA,NA,NA
"Nafcillin","Nafcillin","All ruminants","300 μg/kg","Muscle","For intramammary use only.","Anti-infectious agents/Antibiotics",300,"μg/kg","muscle"
"Nafcillin","Nafcillin","All ruminants","300 μg/kg","Fat","For intramammary use only.","Anti-infectious agents/Antibiotics",300,"μg/kg","fat"
"Nafcillin","Nafcillin","All ruminants","300 μg/kg","Liver","For intramammary use only.","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Nafcillin","Nafcillin","All ruminants","300 μg/kg","Kidney","For intramammary use only.","Anti-infectious agents/Antibiotics",300,"μg/kg","kidney"
"Nafcillin","Nafcillin","All ruminants","30 μg/kg","Milk","For intramammary use only.","Anti-infectious agents/Antibiotics",30,"μg/kg","milk"
"Natamycin","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Neomycin (including framycetin)","Neomycin B","All food producing species","500  μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",500,"μg/kg","muscle"
"Neomycin (including framycetin)","Neomycin B","All food producing species","500  μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",500,"μg/kg","fat"
"Neomycin (including framycetin)","Neomycin B","All food producing species","5 500  μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",5500,"μg/kg","liver"
"Neomycin (including framycetin)","Neomycin B","All food producing species","9 000  μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",9000,"μg/kg","kidney"
"Neomycin (including framycetin)","Neomycin B","All food producing species","1 500  μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",1500,"μg/kg","milk"
"Neomycin (including framycetin)","Neomycin B","All food producing species","500  μg/kg","Eggs","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’","Anti-infectious agents/Antibiotics",500,"μg/kg","eggs"
"Neostigmine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Netobimin","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Muscle","For oral use only.","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","muscle"
"Netobimin","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Fat","For oral use only.","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Netobimin","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","1 000  μg/kg","Liver","For oral use only.","Antiparasitic agents/Agents against endoparasites",1000,"μg/kg","liver"
"Netobimin","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","500 μg/kg","Kidney","For oral use only.","Antiparasitic agents/Agents against endoparasites",500,"μg/kg","kidney"
"Netobimin","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Milk","For oral use only.","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","milk"
"Nickel gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Nickel sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Nicoboxil","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Nitroxinil","Nitroxinil","Bovine, ovine","400  μg/kg","Muscle","","Antiparasitic agents/agents against endoparasites",400,"μg/kg","muscle"
"Nitroxinil","Nitroxinil","Bovine, ovine","200  μg/kg","Fat","","Antiparasitic agents/agents against endoparasites",200,"μg/kg","fat"
"Nitroxinil","Nitroxinil","Bovine, ovine","20  μg/kg","Liver","","Antiparasitic agents/agents against endoparasites",20,"μg/kg","liver"
"Nitroxinil","Nitroxinil","Bovine, ovine","400  μg/kg","Kidney","","Antiparasitic agents/agents against endoparasites",400,"μg/kg","kidney"
"Nitroxinil","Nitroxinil","Bovine, ovine","20  μg/kg","Milk","","Antiparasitic agents/agents against endoparasites",20,"μg/kg","milk"
"Nonivamide","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For topical use only","NO ENTRY",NA,NA,NA
"Norgestomet","Norgestomet","Bovine","0.2 μg/kg","Muscle","For therapeutic and zootechnical purposes only.","Agents acting on the reproductive system",0.2,"μg/kg","muscle"
"Norgestomet","Norgestomet","Bovine","0.2 μg/kg","Fat","For therapeutic and zootechnical purposes only.","Agents acting on the reproductive system",0.2,"μg/kg","fat"
"Norgestomet","Norgestomet","Bovine","0.2 μg/kg","Liver","For therapeutic and zootechnical purposes only.","Agents acting on the reproductive system",0.2,"μg/kg","liver"
"Norgestomet","Norgestomet","Bovine","0.2 μg/kg","Kidney","For therapeutic and zootechnical purposes only.","Agents acting on the reproductive system",0.2,"μg/kg","kidney"
"Norgestomet","Norgestomet","Bovine","0.12 μg/kg","Milk","For therapeutic and zootechnical purposes only.","Agents acting on the reproductive system",0.12,"μg/kg","milk"
"Novobiocin","Novobiocin","Bovine","50 μg/kg","Milk","For intramammary use only.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Novobiocin","NOT APPLICABLE","Bovine","No MRL required for all tissues except milk","NOT APPLICABLE","NO ENTRY","Anti-infectious agents/Antibiotics",NA,NA,NA
"Octenidine dihydrochloride","NOT APPLICABLE","All mammalian food-producing species","No MRL required","NOT APPLICABLE","For cutaneous use only.","Anti-infectious agents/Antiseptics",NA,NA,NA
"17β-Oestradiol","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","For therapeutic and zootechnical use only.","NO ENTRY",NA,NA,NA
"Okoubaka aubrevillei","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Oleyloleate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Omeprazole","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Orgotein","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ornithine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Orotic acid","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ovotransferrin","NOT APPLICABLE","Chicken","No MRL required","NOT APPLICABLE","For inhalation use only","Anti-infectious agent",NA,NA,NA
"Ovotransferrin","NOT APPLICABLE","All poultry except chicken","No MRL required","NOT APPLICABLE","For inhalation use only 
                                 
                                    ►C2
                                 
                                Not for use in animals from which eggs are produced for human consumption  ◄","Anti-infectious agent",NA,NA,NA
